instrument,minute,cum
002581.SZ,92,-0.00110803335436165
002581.SZ,93,-0.0022172958086473836
002581.SZ,94,-0.001108033354361628
002581.SZ,95,-0.001108033354361628
002581.SZ,96,-0.001108033354361628
002581.SZ,97,-0.001108033354361628
002581.SZ,98,-0.001108033354361628
002581.SZ,99,-0.001108033354361628
002581.SZ,100,-0.002217295808647362
002581.SZ,101,1.691355389077387e-16
002581.SZ,102,1.691355389077387e-16
002581.SZ,103,-0.0011080333543615638
002581.SZ,104,7.892991815694472e-17
002581.SZ,105,7.892991815694472e-17
002581.SZ,106,-0.001108033354361654
002581.SZ,107,-0.002217295808647388
002581.SZ,108,1.4311468676808659e-16
002581.SZ,109,0.0011068069751911903
002581.SZ,110,0.0022123902829410663
002581.SZ,111,0.001106806975191311
002581.SZ,112,2.0469737016526324e-16
002581.SZ,113,0.0011068069751912519
002581.SZ,114,0.002212390282941128
002581.SZ,115,0.0011068069751913726
002581.SZ,116,0.0011068069751913726
002581.SZ,117,0.0011068069751913726
002581.SZ,118,0.0011068069751913726
002581.SZ,119,0.0022123902829412484
002581.SZ,120,0.0022123902829412484
002581.SZ,121,0.0022123902829412484
002581.SZ,122,0.0022123902829412484
002581.SZ,123,0.0011043569285795155
002581.SZ,124,0.002212390282941158
002581.SZ,125,0.003319197258132205
002581.SZ,126,0.0022123902829410988
002581.SZ,127,0.003319197258132146
002581.SZ,128,0.0011043569285793587
002581.SZ,129,0.00331919725813218
002581.SZ,130,0.0022123902829410736
002581.SZ,131,0.0022123902829410736
002581.SZ,132,0.0022123902829410736
002581.SZ,133,0.0011043569285793407
002581.SZ,134,0.0033191972581321618
002581.SZ,135,0.0033191972581321618
002581.SZ,136,0.0033191972581321618
002581.SZ,137,0.0033191972581321618
002581.SZ,138,0.0033191972581321618
002581.SZ,139,0.0022123902829410554
002581.SZ,140,0.0022123902829410554
002581.SZ,141,0.004424780565881919
002581.SZ,142,0.004424780565881919
002581.SZ,143,0.005529142908935147
002581.SZ,144,0.005529142908935147
002581.SZ,145,0.005529142908935147
002581.SZ,146,0.005529142908935147
002581.SZ,147,0.005529142908935147
002581.SZ,148,0.004424780565881933
002581.SZ,149,0.006632286981092453
002581.SZ,150,0.006632286981092453
002581.SZ,151,0.009934436376851485
002581.SZ,152,0.0077342154672490615
002581.SZ,153,0.0077342154672490615
002581.SZ,154,0.005529142908935192
002581.SZ,155,0.004424780565881978
002581.SZ,156,0.004424780565881978
002581.SZ,157,0.004424780565881978
002581.SZ,158,0.004424780565881978
002581.SZ,159,0.004424780565881978
002581.SZ,160,0.005529142908935206
002581.SZ,161,0.005529142908935206
002581.SZ,162,0.005529142908935206
002581.SZ,163,0.005529142908935206
002581.SZ,164,0.005529142908935206
002581.SZ,165,0.004424780565881992
002581.SZ,166,0.004424780565881992
002581.SZ,167,0.003319197258132237
002581.SZ,168,0.0044247805658821126
002581.SZ,169,0.0044247805658821126
002581.SZ,170,0.0033191972581323574
002581.SZ,171,0.0033191972581323574
002581.SZ,172,0.0033191972581323574
002581.SZ,173,0.0033191972581323574
002581.SZ,174,0.0033191972581323574
002581.SZ,175,0.002212390282941251
002581.SZ,176,0.002212390282941251
002581.SZ,177,0.002212390282941251
002581.SZ,178,0.004424780565882115
002581.SZ,179,0.00331919725813236
002581.SZ,180,0.005529142908935252
002581.SZ,181,0.003319197258132296
002581.SZ,182,0.004424780565882172
002581.SZ,183,0.004424780565882172
002581.SZ,184,0.0055291429089354
002581.SZ,185,0.004424780565882186
002581.SZ,186,0.003319197258132431
002581.SZ,187,0.0022123902829413247
002581.SZ,188,0.004424780565882188
002581.SZ,189,0.004424780565882188
002581.SZ,190,0.003319197258132433
002581.SZ,191,0.003319197258132433
002581.SZ,192,0.004424780565882309
002581.SZ,193,0.0033191972581325534
002581.SZ,194,0.002212390282941447
002581.SZ,195,0.002212390282941447
002581.SZ,196,0.003319197258132494
002581.SZ,197,0.0022123902829413876
002581.SZ,198,0.0022123902829413876
002581.SZ,199,0.0022123902829413876
002581.SZ,200,0.0011043569285796547
002581.SZ,201,0.0022123902829412974
002581.SZ,202,0.0022123902829412974
002581.SZ,203,0.0022123902829412974
002581.SZ,204,0.0022123902829412974
002581.SZ,205,0.0022123902829412974
