candidate,selection_role,selection_reason,active_days,evaluation_years,evaluation_protocol,i_trial_passed,i_quality_passed,i_linear_signal_passed,i_residual_signal_passed,i_redundancy_passed,i_trial_reasons,i_coverage,i_active_days,i_rank_ic_mean,i_residual_rank_ic,i_max_abs_rank_correlation,individual_passed,individual_reasons,force_refreshed,evaluation_status,frozen_after_validation,feature,benchmark,passed
self__PV-006,residual_entry_elastic_net_candidate,quality plus linear/residual signal and non-redundancy,720,"2019,2020,2021","screened15_residual_entry_v10_lightweight_frozen_I|years=2019,2020,2021|train_days=60|test_days=20|alpha=0.001|l1_ratio=0.5|preprocessing=daily_centered_rank_features_and_target|positive_coefficients=true|candidate_filter=quality_linear_or_residual_signal_and_redundancy|admission_metric=entry_gate_only|admission=residual_entry_only_v1",False,True,False,False,True,I linear/residual signal gate failed,1.0,720.0,-0.03209431373405792,-0.007986444484101468,0.6170521559983416,False,I linear/residual signal gate failed,False,i_entry_failed,False,self__PV-006,incremental_entry,False
self__PV-008,residual_entry_elastic_net_candidate,quality plus linear/residual signal and non-redundancy,531,"2019,2020,2021","screened15_residual_entry_v10_lightweight_frozen_I|years=2019,2020,2021|train_days=60|test_days=20|alpha=0.001|l1_ratio=0.5|preprocessing=daily_centered_rank_features_and_target|positive_coefficients=true|candidate_filter=quality_linear_or_residual_signal_and_redundancy|admission_metric=entry_gate_only|admission=residual_entry_only_v1",True,,,,,,,,,,,True,,,promoted_to_frozen_I,True,self__PV-008,incremental_entry,False
self__PV-009,residual_entry_elastic_net_candidate,quality plus linear/residual signal and non-redundancy,527,"2019,2020,2021","screened15_residual_entry_v10_lightweight_frozen_I|years=2019,2020,2021|train_days=60|test_days=20|alpha=0.001|l1_ratio=0.5|preprocessing=daily_centered_rank_features_and_target|positive_coefficients=true|candidate_filter=quality_linear_or_residual_signal_and_redundancy|admission_metric=entry_gate_only|admission=residual_entry_only_v1",True,,,,,,,,,,,True,,,promoted_to_frozen_I,True,self__PV-009,incremental_entry,False
self__PV-010,residual_entry_elastic_net_candidate,quality plus linear/residual signal and non-redundancy,531,"2019,2020,2021","screened15_residual_entry_v10_lightweight_frozen_I|years=2019,2020,2021|train_days=60|test_days=20|alpha=0.001|l1_ratio=0.5|preprocessing=daily_centered_rank_features_and_target|positive_coefficients=true|candidate_filter=quality_linear_or_residual_signal_and_redundancy|admission_metric=entry_gate_only|admission=residual_entry_only_v1",True,,,,,,,,,,,True,,,promoted_to_frozen_I,True,self__PV-010,incremental_entry,False
self__PV-011,residual_entry_elastic_net_candidate,quality plus linear/residual signal and non-redundancy,478,"2019,2020,2021","screened15_residual_entry_v10_lightweight_frozen_I|years=2019,2020,2021|train_days=60|test_days=20|alpha=0.001|l1_ratio=0.5|preprocessing=daily_centered_rank_features_and_target|positive_coefficients=true|candidate_filter=quality_linear_or_residual_signal_and_redundancy|admission_metric=entry_gate_only|admission=residual_entry_only_v1",True,,,,,,,,,,,True,,,promoted_to_frozen_I,True,self__PV-011,incremental_entry,False
self__PV-013,residual_entry_elastic_net_candidate,quality plus linear/residual signal and non-redundancy,478,"2019,2020,2021","screened15_residual_entry_v10_lightweight_frozen_I|years=2019,2020,2021|train_days=60|test_days=20|alpha=0.001|l1_ratio=0.5|preprocessing=daily_centered_rank_features_and_target|positive_coefficients=true|candidate_filter=quality_linear_or_residual_signal_and_redundancy|admission_metric=entry_gate_only|admission=residual_entry_only_v1",True,,,,,,,,,,,True,,,promoted_to_frozen_I,True,self__PV-013,incremental_entry,False
self__PV-014,residual_entry_elastic_net_candidate,quality plus linear/residual signal and non-redundancy,716,"2019,2020,2021","screened15_residual_entry_v10_lightweight_frozen_I|years=2019,2020,2021|train_days=60|test_days=20|alpha=0.001|l1_ratio=0.5|preprocessing=daily_centered_rank_features_and_target|positive_coefficients=true|candidate_filter=quality_linear_or_residual_signal_and_redundancy|admission_metric=entry_gate_only|admission=residual_entry_only_v1",True,,,,,,,,,,,True,,,promoted_to_frozen_I,True,self__PV-014,incremental_entry,False
self__PV-015,residual_entry_elastic_net_candidate,quality plus linear/residual signal and non-redundancy,245,"2019,2020,2021","screened15_residual_entry_v10_lightweight_frozen_I|years=2019,2020,2021|train_days=60|test_days=20|alpha=0.001|l1_ratio=0.5|preprocessing=daily_centered_rank_features_and_target|positive_coefficients=true|candidate_filter=quality_linear_or_residual_signal_and_redundancy|admission_metric=entry_gate_only|admission=residual_entry_only_v1",True,,,,,,,,,,,True,,,promoted_to_frozen_I,True,self__PV-015,incremental_entry,False
self__PV-016,residual_entry_elastic_net_candidate,quality plus linear/residual signal and non-redundancy,245,"2019,2020,2021","screened15_residual_entry_v10_lightweight_frozen_I|years=2019,2020,2021|train_days=60|test_days=20|alpha=0.001|l1_ratio=0.5|preprocessing=daily_centered_rank_features_and_target|positive_coefficients=true|candidate_filter=quality_linear_or_residual_signal_and_redundancy|admission_metric=entry_gate_only|admission=residual_entry_only_v1",True,,,,,,,,,,,True,,,promoted_to_frozen_I,True,self__PV-016,incremental_entry,False
self__PV-017,residual_entry_elastic_net_candidate,quality plus linear/residual signal and non-redundancy,127,"2019,2020,2021","screened15_residual_entry_v10_lightweight_frozen_I|years=2019,2020,2021|train_days=60|test_days=20|alpha=0.001|l1_ratio=0.5|preprocessing=daily_centered_rank_features_and_target|positive_coefficients=true|candidate_filter=quality_linear_or_residual_signal_and_redundancy|admission_metric=entry_gate_only|admission=residual_entry_only_v1",True,,,,,,,,,,,True,,,promoted_to_frozen_I,True,self__PV-017,incremental_entry,False
self__PV-018,residual_entry_elastic_net_candidate,quality plus linear/residual signal and non-redundancy,0,"2019,2020,2021","screened15_residual_entry_v10_lightweight_frozen_I|years=2019,2020,2021|train_days=60|test_days=20|alpha=0.001|l1_ratio=0.5|preprocessing=daily_centered_rank_features_and_target|positive_coefficients=true|candidate_filter=quality_linear_or_residual_signal_and_redundancy|admission_metric=entry_gate_only|admission=residual_entry_only_v1",False,False,True,True,True,I quality gate failed,1.0,0.0,,0.009802859610355577,,False,I quality gate failed,False,i_entry_failed,False,self__PV-018,incremental_entry,False
self__PV-019,residual_entry_elastic_net_candidate,quality plus linear/residual signal and non-redundancy,331,"2019,2020,2021","screened15_residual_entry_v10_lightweight_frozen_I|years=2019,2020,2021|train_days=60|test_days=20|alpha=0.001|l1_ratio=0.5|preprocessing=daily_centered_rank_features_and_target|positive_coefficients=true|candidate_filter=quality_linear_or_residual_signal_and_redundancy|admission_metric=entry_gate_only|admission=residual_entry_only_v1",True,,,,,,,,,,,True,,,promoted_to_frozen_I,True,self__PV-019,incremental_entry,False
self__PV-020,residual_entry_elastic_net_candidate,quality plus linear/residual signal and non-redundancy,720,"2019,2020,2021","screened15_residual_entry_v10_lightweight_frozen_I|years=2019,2020,2021|train_days=60|test_days=20|alpha=0.001|l1_ratio=0.5|preprocessing=daily_centered_rank_features_and_target|positive_coefficients=true|candidate_filter=quality_linear_or_residual_signal_and_redundancy|admission_metric=entry_gate_only|admission=residual_entry_only_v1",True,,,,,,,,,,,True,,,promoted_to_frozen_I,True,self__PV-020,incremental_entry,False
self__PV-021,residual_entry_elastic_net_candidate,quality plus linear/residual signal and non-redundancy,660,"2019,2020,2021","screened15_residual_entry_v10_lightweight_frozen_I|years=2019,2020,2021|train_days=60|test_days=20|alpha=0.001|l1_ratio=0.5|preprocessing=daily_centered_rank_features_and_target|positive_coefficients=true|candidate_filter=quality_linear_or_residual_signal_and_redundancy|admission_metric=entry_gate_only|admission=residual_entry_only_v1",True,,,,,,,,,,,True,,,promoted_to_frozen_I,True,self__PV-021,incremental_entry,False
self__PV-022,residual_entry_elastic_net_candidate,quality plus linear/residual signal and non-redundancy,478,"2019,2020,2021","screened15_residual_entry_v10_lightweight_frozen_I|years=2019,2020,2021|train_days=60|test_days=20|alpha=0.001|l1_ratio=0.5|preprocessing=daily_centered_rank_features_and_target|positive_coefficients=true|candidate_filter=quality_linear_or_residual_signal_and_redundancy|admission_metric=entry_gate_only|admission=residual_entry_only_v1",True,,,,,,,,,,,True,,,promoted_to_frozen_I,True,self__PV-022,incremental_entry,False
self__PV-023,residual_entry_elastic_net_candidate,quality plus linear/residual signal and non-redundancy,716,"2019,2020,2021","screened15_residual_entry_v10_lightweight_frozen_I|years=2019,2020,2021|train_days=60|test_days=20|alpha=0.001|l1_ratio=0.5|preprocessing=daily_centered_rank_features_and_target|positive_coefficients=true|candidate_filter=quality_linear_or_residual_signal_and_redundancy|admission_metric=entry_gate_only|admission=residual_entry_only_v1",False,True,False,False,True,I linear/residual signal gate failed,1.0,716.0,-0.0025109739674797037,-0.004735351451982865,0.10230480214886302,False,I linear/residual signal gate failed,False,i_entry_failed,False,self__PV-023,incremental_entry,False
