date,return_date,quintile,mean_o2c_return,scored_stocks,candidate_stocks,five_group_mean,excess_return,cumulative_excess_pp
2025-06-30,2025-07-01,1,0.0017104929685592652,200,200,0.0035539115071296693,-0.001843418538570404,3.049673804896915
2025-06-30,2025-07-01,2,0.004214599132537842,200,200,0.0035539115071296693,0.0006606876254081728,1.7209367240098683
2025-06-30,2025-07-01,3,0.004091493487358093,200,200,0.0035539115071296693,0.0005375819802284237,2.3495359581967374
2025-06-30,2025-07-01,4,0.0069135183095932005,200,200,0.0035539115071296693,0.003359606802463531,-3.4305007410692854
2025-07-01,2025-07-02,0,-0.010203943550586701,200,200,-0.005353477299213409,-0.004850466251373292,-4.174692371171568
2025-07-01,2025-07-02,1,-0.009120281338691711,200,200,-0.005353477299213409,-0.003766804039478302,2.6729934009490854
2025-07-01,2025-07-02,2,-0.006771700084209442,200,200,-0.005353477299213409,-0.0014182227849960328,1.579114445510265
2025-07-01,2025-07-02,3,-0.003972956240177155,200,200,-0.005353477299213409,0.0013805210590362542,2.487588064100363
2025-07-01,2025-07-02,4,0.0033014947175979614,200,200,-0.005353477299213409,0.00865497201681137,-2.5650035393881483
2025-07-02,2025-07-03,0,0.004801641702651977,200,200,0.005800892353057861,-0.0009992506504058838,-4.274617436212156
2025-07-02,2025-07-03,1,0.004767512083053589,200,200,0.005800892353057861,-0.001033380270004272,2.569655373948658
2025-07-02,2025-07-03,2,0.008407051265239716,200,200,0.005800892353057861,0.002606158912181855,1.8397303367284505
2025-07-02,2025-07-03,3,0.00600876122713089,200,200,0.005800892353057861,0.00020786887407302918,2.508374951507666
2025-07-02,2025-07-03,4,0.005019495487213135,200,200,0.005800892353057861,-0.000781396865844726,-2.643143225972621
2025-07-03,2025-07-04,0,-0.008120814561843872,200,200,-0.0047196148633956905,-0.003401199698448182,-4.614737406056975
2025-07-03,2025-07-04,1,-0.0057104438543319706,200,200,-0.0047196148633956905,-0.00099082899093628,2.47057247485503
2025-07-03,2025-07-04,2,-0.004774204194545746,200,200,-0.0047196148633956905,-5.458933115005515e-05,1.8342714036134453
2025-07-03,2025-07-04,3,-0.003645831346511841,200,200,-0.0047196148633956905,0.0010737835168838496,2.6157533031960507
2025-07-03,2025-07-04,4,-0.0013467803597450255,200,200,-0.0047196148633956905,0.003372834503650665,-2.305859775607554
2025-07-04,2025-07-07,0,0.0032068443298339843,200,200,0.0039611524693929975,-0.0007543081395590132,-4.690168220012876
2025-07-04,2025-07-07,1,0.0033122050762176515,200,200,0.0039611524693929975,-0.000648947393175346,2.405677735537495
2025-07-04,2025-07-07,2,0.0035942146182060242,200,200,0.0039611524693929975,-0.00036693785118697324,1.797577618494748
2025-07-04,2025-07-07,3,0.003890310999137073,199,200,0.0039611524693929975,-7.084147025592435e-05,2.6086691561704582
2025-07-04,2025-07-07,4,0.005802187323570252,200,200,0.0039611524693929975,0.0018410348541772542,-2.121756290189829
2025-07-07,2025-07-08,0,0.014608374238014222,200,200,0.012922873616218567,0.0016855006217956544,-4.521618157833311
2025-07-07,2025-07-08,1,0.014758102893829346,200,200,0.012922873616218567,0.0018352292776107788,2.5892006632985733
2025-07-07,2025-07-08,2,0.013273358047008514,200,200,0.012922873616218567,0.000350484430789947,1.8326260615737424
2025-07-07,2025-07-08,3,0.012575508654117584,200,200,0.012922873616218567,-0.00034736496210098326,2.57393265996036
2025-07-07,2025-07-08,4,0.009399024248123168,200,200,0.012922873616218567,-0.0035238493680953987,-2.474141226999369
2025-07-08,2025-07-09,0,-0.006470828354358673,200,200,-0.003058776140213013,-0.00341205221414566,-4.862823379247877
2025-07-08,2025-07-09,1,-0.004417058229446411,200,200,-0.003058776140213013,-0.0013582820892333982,2.4533724543752333
2025-07-08,2025-07-09,2,0.0002879497408866882,200,200,-0.003058776140213013,0.0033467258810997015,2.1672986496837123
2025-07-08,2025-07-09,3,-0.00488374650478363,200,200,-0.003058776140213013,-0.0018249703645706172,2.391435623503298
2025-07-08,2025-07-09,4,0.0001898026466369629,200,200,-0.003058776140213013,0.003248578786849976,-2.149283348314371
2025-07-09,2025-07-10,0,0.0002560973167419434,200,200,0.004382488787174225,-0.004126391470432281,-5.275462526291105
2025-07-09,2025-07-10,1,0.004283022880554199,200,200,0.004382488787174225,-9.946590662002555e-05,2.443425863713231
2025-07-09,2025-07-10,2,0.003756655752658844,200,200,0.004382488787174225,-0.0006258330345153807,2.1047153462321746
2025-07-09,2025-07-10,3,0.004667045474052429,200,200,0.004382488787174225,0.00028455668687820453,2.4198912921911186
2025-07-09,2025-07-10,4,0.008949622511863708,200,200,0.004382488787174225,0.004567133724689484,-1.692569975845423
2025-07-10,2025-07-11,0,0.00485210120677948,200,200,0.006741950929164886,-0.0018898497223854057,-5.464447498529646
2025-07-10,2025-07-11,1,0.008992849290370942,200,200,0.006741950929164886,0.002250898361206056,2.6685156998338364
2025-07-10,2025-07-11,2,0.00883171021938324,200,200,0.006741950929164886,0.0020897592902183546,2.31369127525401
2025-07-10,2025-07-11,3,0.005964524149894714,200,200,0.006741950929164886,-0.0007774267792701713,2.3421486142641017
2025-07-10,2025-07-11,4,0.0050685697793960574,200,200,0.006741950929164886,-0.0016733811497688282,-1.8599080908223056
2025-07-11,2025-07-14,0,2.360224723815918e-05,200,200,0.0007769504057702107,-0.0007533481585320516,-5.539782314382851
2025-07-11,2025-07-14,1,0.0013934242066426493,199,200,0.0007769504057702107,0.0006164738008724385,2.73016307992108
2025-07-11,2025-07-14,2,0.0018687650561332702,200,200,0.0007769504057702107,0.0010918146503630594,2.422872740290316
2025-07-11,2025-07-14,3,-0.0003783023357391357,200,200,0.0007769504057702107,-0.0011552527415093464,2.2266233401131665
2025-07-11,2025-07-14,4,0.0009772628545761108,200,200,0.0007769504057702107,0.00020031244880590012,-1.8398768459417156
2025-07-14,2025-07-15,0,-0.0021311911940574647,200,200,-0.0036434106587165567,0.001512219464659092,-5.388560367916941
2025-07-14,2025-07-15,1,0.0002001112699508667,200,200,-0.0036434106587165567,0.0038435219286674233,3.1145152727878225
2025-07-14,2025-07-15,2,-0.0036494492286413757,199,200,-0.0036434106587165567,-6.0385699248190206e-06,2.4222688832978343
2025-07-14,2025-07-15,3,-0.006352057754993439,200,200,-0.0036434106587165567,-0.002708647096276882,1.9557586304854786
2025-07-14,2025-07-15,4,-0.00628446638584137,200,200,-0.0036434106587165567,-0.0026410557271248133,-2.1039824186541973
2025-07-15,2025-07-16,0,0.006652685403823852,200,200,0.0045848383235571975,0.0020678470802666547,-5.181775659890276
2025-07-15,2025-07-16,1,0.002567628026008606,200,200,0.0045848383235571975,-0.0020172102975485914,2.912794243032964
2025-07-15,2025-07-16,2,0.004370980226813848,199,200,0.0045848383235571975,-0.00021385809674334937,2.400883073623499
2025-07-15,2025-07-16,3,0.005032307803630829,200,200,0.0045848383235571975,0.0004474694800736317,2.0005055784928416
