experiment,arm,label,seed,block,age_start,age_end,date_start,date_end,with_ic,with_icir,without_ic,without_icir,effect_ic
E10,e10_remove_trade,E10 拿掉成交结构（6通道）,20260823,1,1,60,2024-01-02,2024-04-02,0.04408846998511794,1.1649202040543882,0.04016078065439644,1.020489204739691,0.003927689330721492
E10,e10_remove_trade,E10 拿掉成交结构（6通道）,20260823,2,61,120,2024-04-03,2024-07-03,0.04278100782252272,1.0986524367357235,0.030419325519208902,0.7649438997562198,0.012361682303313816
E10,e10_remove_trade,E10 拿掉成交结构（6通道）,20260823,3,121,180,2024-07-04,2024-09-27,0.03316127899429355,0.8689011579383924,0.03445982120761604,0.7231773069470849,-0.0012985422133224701
E10,e10_remove_trade,E10 拿掉成交结构（6通道）,20260823,4,181,240,2024-09-30,2024-12-27,0.03597839628353142,0.6976178945135796,0.03288309164235832,0.6355809134657782,0.0030953046411731156
E10,e10_remove_book,E10 拿掉盘口（5通道）,20260801,1,1,60,2024-01-02,2024-04-02,0.04120641357324204,1.0407380265556445,0.03794981110460516,0.9081036389715678,0.003256602468636872
E10,e10_remove_book,E10 拿掉盘口（5通道）,20260801,2,61,120,2024-04-03,2024-07-03,0.040714434120747156,1.0221648052486974,0.036981434431077924,0.8530268141510748,0.0037329996896692448
E10,e10_remove_book,E10 拿掉盘口（5通道）,20260801,3,121,180,2024-07-04,2024-09-27,0.03205372519143661,0.721749084640684,0.024152103988317523,0.5401541790338601,0.007901621203119083
E10,e10_remove_book,E10 拿掉盘口（5通道）,20260801,4,181,240,2024-09-30,2024-12-27,0.038738667973032874,0.6509833309353512,0.0377434793323326,0.6114315851607356,0.0009951886407002688
E10,e10_remove_book,E10 拿掉盘口（5通道）,20260812,1,1,60,2024-01-02,2024-04-02,0.039730493347691874,1.0300010950586365,0.0449687176758808,1.1395470883163683,-0.00523822432818892
E10,e10_remove_book,E10 拿掉盘口（5通道）,20260812,2,61,120,2024-04-03,2024-07-03,0.039911955883827246,0.9828572298647363,0.03644082913258102,0.8473145275351432,0.003471126751246234
E10,e10_remove_book,E10 拿掉盘口（5通道）,20260812,3,121,180,2024-07-04,2024-09-27,0.033241628616997414,0.8127493047063101,0.02995179119122555,0.6649257907820088,0.0032898374257718612
E10,e10_remove_book,E10 拿掉盘口（5通道）,20260812,4,181,240,2024-09-30,2024-12-27,0.03853775951294737,0.676927951392319,0.03847387316874221,0.6609015370588815,6.388634420514463e-05
E10,e10_remove_book,E10 拿掉盘口（5通道）,20260823,1,1,60,2024-01-02,2024-04-02,0.04408846998511794,1.1649202040543882,0.036943432494368524,0.8954115901863223,0.007145037490749405
E10,e10_remove_book,E10 拿掉盘口（5通道）,20260823,2,61,120,2024-04-03,2024-07-03,0.04278100782252272,1.0986524367357235,0.03847753177000603,0.9517366476202095,0.0043034760525166894
E10,e10_remove_book,E10 拿掉盘口（5通道）,20260823,3,121,180,2024-07-04,2024-09-27,0.03316127899429355,0.8689011579383924,0.023125294342278842,0.5119038717441987,0.010035984652014713
E10,e10_remove_book,E10 拿掉盘口（5通道）,20260823,4,181,240,2024-09-30,2024-12-27,0.03597839628353142,0.6976178945135796,0.035128883697441625,0.6360946167513445,0.0008495125860898078
E11,e11_add_book_orders,E11 增加挂单笔数与四五档（+4通道）,20260801,1,1,60,2024-01-02,2024-04-02,0.04243314342171851,1.0559797139065963,0.04120641357324204,1.0407380265556445,0.001226729848476463
E11,e11_add_book_orders,E11 增加挂单笔数与四五档（+4通道）,20260801,2,61,120,2024-04-03,2024-07-03,0.042023778796945827,1.0556362489343813,0.040714434120747156,1.0221648052486974,0.001309344676198668
E11,e11_add_book_orders,E11 增加挂单笔数与四五档（+4通道）,20260801,3,121,180,2024-07-04,2024-09-27,0.033678259703737404,0.7713031522490142,0.03205372519143661,0.721749084640684,0.0016245345123008007
E11,e11_add_book_orders,E11 增加挂单笔数与四五档（+4通道）,20260801,4,181,240,2024-09-30,2024-12-27,0.03680133386254547,0.6249594638721324,0.038738667973032874,0.6509833309353512,-0.0019373341104874087
E11,e11_add_book_orders,E11 增加挂单笔数与四五档（+4通道）,20260812,1,1,60,2024-01-02,2024-04-02,0.040415337847922325,1.0174200989202302,0.039730493347691874,1.0300010950586365,0.000684844500230446
E11,e11_add_book_orders,E11 增加挂单笔数与四五档（+4通道）,20260812,2,61,120,2024-04-03,2024-07-03,0.03999087650237616,0.9373786519047919,0.039911955883827246,0.9828572298647363,7.892061854890322e-05
E11,e11_add_book_orders,E11 增加挂单笔数与四五档（+4通道）,20260812,3,121,180,2024-07-04,2024-09-27,0.03286772850408772,0.7938732135983722,0.033241628616997414,0.8127493047063101,-0.0003739001129096955
E11,e11_add_book_orders,E11 增加挂单笔数与四五档（+4通道）,20260812,4,181,240,2024-09-30,2024-12-27,0.03930794231687835,0.6756039527794089,0.03853775951294737,0.676927951392319,0.0007701828039309874
E11,e11_add_book_orders,E11 增加挂单笔数与四五档（+4通道）,20260823,1,1,60,2024-01-02,2024-04-02,0.040894465513145066,1.1257334434251636,0.04408846998511794,1.1649202040543882,-0.0031940044719728825
E11,e11_add_book_orders,E11 增加挂单笔数与四五档（+4通道）,20260823,2,61,120,2024-04-03,2024-07-03,0.04119980776714809,1.1114668658941946,0.04278100782252272,1.0986524367357235,-0.0015812000553746262
E11,e11_add_book_orders,E11 增加挂单笔数与四五档（+4通道）,20260823,3,121,180,2024-07-04,2024-09-27,0.03372565723077783,0.8344438481984398,0.03316127899429355,0.8689011579383924,0.0005643782364842744
