strategy,scenario,start,end,days,average_one_way_turnover,annualized_return,sharpe,cagr,cumulative_return,max_drawdown,total_fees,terminal_residual_value
every_3d_phase2,gross,2025-01-02,2026-08-28,402,0.5145149354024298,0.4006427124925916,2.290143036235295,0.46984698780023937,0.8485826337572515,-0.12082666184213131,0.0,0.013565194552100375
every_3d_phase2,fees_slip0,2025-01-02,2026-08-28,402,0.5140737536684327,0.25761430963431836,1.4791000666201533,0.2743439022442955,0.4721676404274424,-0.12780208413238425,0.25805973636482404,0.011749782828921355
every_3d_phase2,fees_slip2,2025-01-02,2026-08-28,402,0.5139150748209111,0.2056985099088715,1.1813542008491251,0.20993285846287235,0.35526409439722184,-0.13621123116045308,0.3369368500144195,0.011151979139604048
every_3d_phase2,fees_slip5,2025-01-02,2026-08-28,402,0.5136787278290579,0.12788408437170626,0.7337957370704794,0.11936812667758878,0.19708087911487837,-0.15472083589586227,0.44248085718129637,0.01031180273202526
every_5d_phase0,gross,2025-01-02,2026-08-28,402,0.3124769747291607,0.29415129709658955,1.8263310032469724,0.324541132871788,0.5657537313112162,-0.1322635306905814,0.0,0.01511951939824506
every_5d_phase0,fees_slip0,2025-01-02,2026-08-28,402,0.3122070622292807,0.20740812195257313,1.2851029745575175,0.2145169936880833,0.3634644895597068,-0.1499054132085499,0.16304089569732233,0.013860589261245044
every_5d_phase0,fees_slip2,2025-01-02,2026-08-28,402,0.3121098735798183,0.1759269080998112,1.0879850908532611,0.1768443420422534,0.2966228795558903,-0.15628424343253533,0.21650003360337952,0.013429598932478692
every_5d_phase0,fees_slip5,2025-01-02,2026-08-28,402,0.3119647781220686,0.1287414256247987,0.793044473621328,0.12251448790145547,0.20245302347170235,-0.16576324456177738,0.2914191011537377,0.012808102965463423
every_5d_phase1,gross,2025-01-02,2026-08-28,402,0.3137437430212147,0.21030244896168696,1.270122641691216,0.2172116794263681,0.36829352588062014,-0.15501743741274043,0.0,0.012645403743789406
every_5d_phase1,fees_slip0,2025-01-02,2026-08-28,402,0.31347734161167634,0.12308151416867014,0.7475711356393928,0.11577001177561108,0.19094841181452926,-0.1708321333895203,0.15444177603606768,0.011579441679641141
every_5d_phase1,fees_slip2,2025-01-02,2026-08-28,402,0.31338132354663195,0.09141846559328859,0.5558002481195374,0.08103468422902638,0.1323541185923256,-0.17652198002824127,0.20518443907731873,0.011214723090383252
